puuid,win_rate,kda,kill_death_ratio,avg_damage,avg_cs,avg_vision_score,avg_game_duration,avg_champion_level,avg_gold_earned,gold_efficiency,unique_champions,total_games_played,unique_play_days,avg_time_between_games_hrs,median_time_between_games_hrs,play_frequency,feature_window_days,kda_trend,winrate_trend,last_gap_days,churn
80dW6Z0wBaUPeOuYn1zqNCFxlbIGOG5yB4pwX6-uh9X5Rs8jia8Ql0OJhTpJoDmoZ3ZqTptc3iNCNQ,0.5588,2.7973,0.3108,12527.71,32.88,68.68,1760.15,13.41,9229.88,0.9073,13,34,9,12.5131,0.8096,1.973,17.23,-1.1109,-0.1765,0.0142,0
8BsJrNaO1k4IhU1ocMp3a_rojuryxwr6Q37yoIlRO3WIvCloqbZwv3tANObe3lWYwhnFuCKZuGgKIA,0.5455,2.4541,0.9082,26739.79,50.42,64.79,1658.97,13.09,10969.24,0.9022,8,33,5,3.6412,0.7317,6.7756,4.87,-0.8591,-0.2757,0.0176,1
8CS6ZKL9IGLGTF3TNPhNQWbOOccyLGwYteQIiCJ8vcmQwhlxN1Tp0rL54l9mLXON75yUYd2d5MbnWQ,0.68,2.5354,1.3858,31928.84,237.4,19.56,1681.96,16.48,14003.48,0.9553,5,25,6,11.9814,0.8272,2.0825,12.0,0.0062,0.3462,0.0966,0
8g3ZNad3N2T7BDs1AOHzTjmIeHXfBKeKJwuZ52zlItU7wDFgRAm977ya5923vtpWXsfHKSrtICwqwQ,0.5625,3.1007,1.6763,31295.62,141.91,18.03,1611.78,16.38,13059.75,0.9648,16,32,5,3.07,0.7676,8.0394,3.98,-1.2612,-0.25,0.0246,0
8vZjJrRcP3LlkmVlFa4e9EeO-QEpNaqF3UKfvyXbxtOjyd3BY2o3d7irbic5zWj6LJbjk8hIPn43ug,0.4286,2.9911,0.3839,10260.1,33.71,74.95,1680.1,12.62,8478.33,0.9164,12,21,4,3.4968,0.7788,7.1467,2.94,0.8953,0.0545,0.0722,0
8x3diZ19dQ13t0MMjoFbnhBp6ZS2tFh1xyeT4Fl4og7-cH-oqgWCqDSwmBMuozalJBSxGacjLIMfVA,0.5185,2.7643,1.1401,27952.56,160.11,18.85,1553.89,15.33,11916.33,0.939,6,27,6,4.871,0.6876,5.1032,5.29,0.639,0.1099,0.0136,0
8y9AnA6XZrVqdQrSKebXbKSvM2pABou4_rgMYGjbl_TMAaKEo87i7jKgJYgYfHguYiZVzejCxLqnRA,0.4333,2.4698,0.8591,19891.17,186.87,15.87,1604.3,14.23,10620.07,0.9489,5,30,6,6.5956,0.6032,3.7528,7.99,-0.4885,0.0667,0.0474,0
9GWDFAVAinXfYPn5MXq-5qc1VQFaiqVgjrnR0RkJ3r1ZRBBJ2DPAUhRPCa1dkMDdkfVpFIzZ0AEPOQ,0.4242,3.0849,1.4906,14950.73,184.03,21.21,1555.61,14.0,10076.58,0.8884,3,33,4,2.2294,0.632,11.0342,2.99,0.0503,-0.2684,0.7443,0
9MImuWKxgB0rvvlcRbI98m5z9g0E52fqOvMdt7hv74oENQIXUc0uoQy4C4CewYvdJ6vl7yWi7UCuZA,0.4333,2.5977,0.5517,15439.73,72.4,46.7,1590.17,12.83,9559.8,0.8855,8,30,7,5.5939,0.6906,4.4237,6.78,1.523,0.3333,0.8303,1
9MiNafcYFJYeARCJLNRwF5cU_BZojGKKQZ86IW8QqgHiQJfSQ7dZNuT01lhRqFtTS6TFkRSGd2odMA,0.5161,1.7361,0.9074,22506.32,184.9,13.74,1521.94,13.1,12621.1,0.9137,8,31,9,7.8926,1.4821,3.1419,9.87,0.1672,-0.0333,0.0248,0
